categoria;codigo;nombre;fuente;excel;plus;unidad;diferencia;porcentaje;estado;nota
Tablero;CHI4,5CARBH002 YM002 BLANCO - BLACK;BLANCO - BLACK;Materiales;;8832;COP/m²;;;Solo PLUS;
Tablero;CHIRHCARB4BLANCO AMERICANO;BLANCO AMERICANO;Materiales!M50;38902.51276538565;12900;COP/m²;-26002.512765385647;-66.840188247485;Diferente;"Excel lámina 115804.99999999999, área 2.9768; PLUS lámina 38400, área 2.9768; activo True"
Tablero;CHICARB18SD 4075 DARK BROWN;DARK BROWN SD 4075+ MAD TEXTURE (SIMILAR AL H4001 +MD133);Materiales;;27982.5;COP/m²;;;Solo PLUS;
Tablero;CHIRHCARB18H002 YM002 BLANCO 183;H002 YM002 BLANCO 183;Materiales!M54;25728.074890262473;25728;COP/m²;-0.07489026247276342;-0.00029108381716157005;Redondeo al peso;"Excel lámina 114881, área 4.4652; PLUS lámina 114881, área 4.4652; activo True"
Tablero;ECOCARB15ARLINGTON;ARLINGTON;Materiales!M67;32489.026247424525;29645;COP/m²;-2844.0262474245246;-8.753805748948777;Diferente;"Excel lámina 145070, área 4.4652; PLUS lámina 132371, área 4.4652; activo True"
Tablero;CHIRHCARB15BLANCO AMERICANO;BLANCO AMERICANO;Materiales;;26041;COP/m²;;;Solo PLUS;
Tablero;CHIRHCARB18H002 YM002 BLANCO;H002 YM002 BLANCO;Materiales;;27445;COP/m²;;;Solo PLUS;
Tablero;CHIRHCARB18H4001 MD133 DARK;H4001 MD133 DARK;Materiales;;26572;COP/m²;;;Solo PLUS;
Tablero;ECOCARB18ARLINGTON;ARLINGTON;Materiales!M68;39309.32545014781;39309;COP/m²;-0.32545014780771453;-0.0008279209680676186;Redondeo al peso;"Excel lámina 175524, área 4.4652; PLUS lámina 175524, área 4.4652; activo True"
Tablero;PRICARB15CANDELARIA (POLAR);CANDELARIA (POLAR);Materiales!M34;38480.023291229954;38480;COP/m²;-0.023291229954338633;-6.052810773544146e-05;Redondeo al peso;"Excel lámina 171821, área 4.4652; PLUS lámina 171821, área 4.4652; activo True"
Tablero;PRICARB18CANDELARIA (POLAR);CANDELARIA (POLAR);Materiales!M35;38912.03081608886;38912;COP/m²;-0.030816088859864976;-7.919424459111891e-05;Redondeo al peso;"Excel lámina 173750, área 4.4652; PLUS lámina 173750, área 4.4652; activo True"
Tablero;PRICARB15COLOR;COLOR;Materiales!M36;42080.08599838753;42080;COP/m²;-0.08599838752707001;-0.0002043683739866059;Redondeo al peso;"Excel lámina 187896, área 4.4652; PLUS lámina 187896, área 4.4652; activo True"
Tablero;PRICARB18COLOR;COLOR;Materiales!M37;46885.46985577353;46885;COP/m²;-0.46985577353189;-0.00100213514971106;Redondeo al peso;"Excel lámina 209353, área 4.4652; PLUS lámina 209353, área 4.4652; activo True"
Tablero;PRICARB15COLORCLASICO;COLORCLASICO;Materiales!M38;40860.65573770492;40861;COP/m²;0.3442622950824443;0.0008425275827494123;Redondeo al peso;"Excel lámina 182451, área 4.4652; PLUS lámina 182451, área 4.4652; activo True"
Tablero;PRICARB18COLORCLASICO;COLORCLASICO;Materiales!M39;45217.45946430171;45217;COP/m²;-0.45946430171170505;-0.001016121443254553;Redondeo al peso;"Excel lámina 201905.00000000003, área 4.4652; PLUS lámina 201905, área 4.4652; activo True"
Tablero;PRICARB6CANDELARIA (POLAR);CANDELARIA (POLAR);Materiales!M40;28858.281823882466;28858;COP/m²;-0.28182388246568735;-0.000976578869752586;Redondeo al peso;"Excel lámina 128858, área 4.4652; PLUS lámina 128858, área 4.4652; activo True"
Tablero;PRICARB6COLOR;COLOR;Materiales!M41;37131.3714951178;37131;COP/m²;-0.37149511779716704;-0.0010004885433494235;Redondeo al peso;"Excel lámina 165799, área 4.4652; PLUS lámina 165799, área 4.4652; activo True"
Tablero;CHIRHCARB18BLANCO AMERICANO;BLANCO AMERICANO;Materiales;;26041;COP/m²;;;Solo PLUS;
Tablero;CHIRHCARB6BLANCO AMERICANO;BLANCO AMERICANO;Materiales;;13062;COP/m²;;;Solo PLUS;
Tablero;CHIRHCARB18M7394-1 MD133;M7394-1 MD133;Materiales!M57;26989.24731182796;26989;COP/m²;-0.2473118279594928;-0.0009163346613638577;Redondeo al peso;"Excel lámina 82328, área 3.0504; PLUS lámina 82328, área 3.0504; activo True"
Tablero;ECOCARB15COLOR;COLOR;Materiales!M69;35608.70733673743;35609;COP/m²;0.2926632625676575;0.0008218867924635877;Redondeo al peso;"Excel lámina 159000, área 4.4652; PLUS lámina 159000, área 4.4652; activo True"
Tablero;ECOCARB18COLOR;COLOR;Materiales!M70;48529.96506315506;48530;COP/m²;0.034936844938783906;7.199025363673437e-05;Redondeo al peso;"Excel lámina 216696, área 4.4652; PLUS lámina 216696, área 4.4652; activo True"
Tablero;ECOCARB9ARLINGTON 2 LADOS;ARLINGTON 2 LADOS;Materiales!M71;27868.85245901639;28962;COP/m²;1093.1475409836094;3.922470588235304;Diferente;"Excel lámina 124440, área 4.4652; PLUS lámina 129320, área 4.4652; activo True"
Tablero;DURCARB15BALANCE;BALANCE;Materiales!M21;43450.88685837141;43451;COP/m²;0.11314162859343924;0.0002603896877001049;Redondeo al peso;"Excel lámina 194016.90000000002, área 4.4652; PLUS lámina 194016.9, área 4.4652; activo True"
Tablero;DURCARB18COLOR;COLOR;Materiales!M22;53607.5091821195;53608;COP/m²;0.49081788049807074;0.0009155767316676232;Redondeo al peso;"Excel lámina 239368.25000000003, área 4.4652; PLUS lámina 239368.25, área 4.4652; activo True"
Tablero;DURCARB18COLORLIQ;COLORLIQ;Materiales!M23;38582.03439935501;38582;COP/m²;-0.034399355012283195;-8.915899731004922e-05;Redondeo al peso;"Excel lámina 172276.5, área 4.4652; PLUS lámina 172276.5, área 4.4652; activo True"
Tablero;DURCARB18POLAR;POLAR;Materiales!M24;46623.66747290155;46624;COP/m²;0.33252709844964556;0.0007132152326775147;Redondeo al peso;"Excel lámina 208184.00000000003, área 4.4652; PLUS lámina 208184, área 4.4652; activo True"
